Label,Text,Summary
Instructor,is important to let the instructor know if you are not able to access information,"It is important to let the instructor know if you are not able to access information. It is also important to tell the instructor if you can't access the information you are supposed to be able to. If you are unable to access a piece of information, it is a good idea to let your instructor know."
Instructor,➔ Instructor Video: Book Group Weekly Ac ➔ Each City is Unique (6 pages) ➔ The American Dream is Harder to Find in Some Neighborhoods by NPR (7-minute listen) ➔ S ➔ Long Island Divided (Visual Story 30 – 45 min OR 41 min Video) Deliverables/ Assignments/ What you Turn In Due W ednesday @ 9 am/ Be fore Class Due Sunday @ 11:59 pm/ Midnigh t ➔ Book Group Role Reﬂec,"Learn about the history and culture of Long Island, New York. Learn about some of the challenges faced by the residents of the area. Learn how to share your knowledge of the region with other students. Use the weekly Newsquiz to test your knowledge on stories you saw on CNN.com."
Instructor,➔ Instructor Video: Identify ➔ The urgency of intersectionality Deliverables/ Assignments/ What you Turn In Due W ednesday @ 9 am/ Be fore Class Due Sunday @ 11:59 pm/ Midnigh t,Class Due Sunday @ 11:59 pm/ Midnigh t. Deliverables/ Assignments/ What you Turn In Due W ednesday @ 9 am/ Be fore Class Due Monday @ 9am/ Be Fore Class Due Tuesday @ 9pm/ BeFore Class Due Wednesday @ 11am/ Class Due Thursday @ 11pm.
Instructor,INSTRUCTOR'S DISCRETION,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Visit CNN.com/Travel each week for a new gallery of snapshots. Please submit your best shots of the U.S. for next week's gallery. Click here for the gallery.
Instructor,Instructor: Erica Thomas (she/her),CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel each week for a new gallery of snapshots. Visit http://www.dailymail.co.uk/travel/features/trending-trends-in-pictures-and-tourist-photography.
Instructor,Instructor Communication/Role: I am available some,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Visit CNN.com/Travel each week for a new gallery of snapshots. Please submit your best shots of the U.S. for next week's gallery. Please share your best photos of New York City with CNN iReport.
Instructor,"instructors Erica Meryl Thomas (she/her) I am an artist educator labor organizer and designer. From 2017-2020 I co-directed Works Progress Agency an interdisciplinary design consultancy based in Portland OR. WPA brought creativity and equity to workplaces and created opportunities for artists to make a living at their work. From 2017–2020 WPA operated MATTER a storefront artspace and residency program in Inner SE Portland focused on building opportunities for socially engaged artists to experiment exhibit and sell their work. In 2014 I earned an MFA in Contemporary Art and Social Practice from Portland State University. As an artist I utilize a multitude of media and forms to explore concepts like vulnerability solidarity and pleasure. My projects o use dialogue or oral histories to build relationships and community and create opportunities for collaborative public engagement. My work manifests in the form of books installations printmaking events performance and more.A few of my projects and exhibitions include: Art Talk Bus Stop (producer 2019–present) a youth education program/podcast and KBOO Community Radio show where high school students interview artists and creatives about how they do their work and how they make a living Nobody Wants to Work Anymore (artist Nov 2022) a solo exhibition on the duality of labor and value in the contemporary workplace and Obscurity: Life Inside the Smoke (curator/artist Sept–Dec 2023) an exhibition about the human relationship with wildﬁre smoke through the interpretation of six Portland area artists at the World Forestry Center in Portland OR in which I worked with incarcerated wildland ﬁreﬁghters to create an interactive installation. I have been an artist in residence at Casa Tres Patios in Medellín Colombia ""40"" ValueFormat=""_($* # and PLAYA at Summer Lake OR (2020/21) and at Nafasi Art Space in Dar es Salaam Tanzania ""40"" ValueFormat=""_($* # where I have produced exhibitions publications and workshops. In addition to my art background I have over ""40"">15 years of experience as a producer project manager and art director both at production and design agencies and on independent projects. I’ve been part of the PSU community since moving to Portland in 2008 ﬁrst as a Producer/Director of multimedia projects then as a graduate student and Teaching/Graduate Assistant in the MFA in Contemporary Art &amp; Social Practice and now as an adjunct faculty member in University Studies as well as the Co-Chair and Chair of Political Action for our adjunct faculty union PSUFA . When I’m not teaching making art or organizing in my community I enjoy traveling backcountry expeditions gardening and cooking live music and dance parties. Cam Ericksen (they/them ) I am a mixed-race two-spirit queer counseling student with a focus in relationship and family therapy. I currently serve as a counselor intern at William Temple House in NW Portland as I ﬁnish the last year of my Masters program. A few other things about me aside from being a student and a counselor-in-training I have hobbies in gardening and ceramics am partnered enjoy kayaking with friends and love to cook. I completed my undergraduate degree at PSU and am familiar with numerous",Erica Meryl Thomas earned an MFA in Contemporary Art and Social Practice from Portland State University. Cam Ericksen is a mixed-race two-spirit queer counseling student with a focus in relationship and family therapy. Cam has been an artist in residence at Casa Tres Patios in Medellín Colombia.
Instructor,"instructors and teammates including utilizing oﬃce hours, attending Midterm Meeting, and in the second half of the term will include your review by your self and your teammates in the the Self/Peer Evaluation survey. You are required to attend class each",You are required to attend class each week. You are also required to complete the Self/Peer Evaluation survey. You will also be required to utilize oﬃce hours and attend Midterm Meeting. The second half of the term will include your review by your self and your teammates.
Instructor,instructor/mentor feedback. If you fall below the “Emerging” range on any piece of coursework we will discuss the work and talk about ways to get into the Emerging-Proﬁcient range. All students are expected to fall in the Emerging-Proﬁcient and above range in the majority of their course work across our learning. At midterm we will have check-ins with everyone to give verbal feedback on your work as well as hear how your design process is going. This will also be an opportunity to brainstorm and ask questions. Policies: Presence and participation are required. Consistent,All students are expected to fall in the Emerging-Proﬁcient and above range in the majority of their course work across our learning. At midterm we will have check-ins with everyone to give verbal feedback on your work as well as hear how your design process is going. This will also be an opportunity to brainstorm and ask questions.
Instructor,instructor I am unable to oﬀer the ‘Incomplete’,"I am unable to oﬀer the ‘Incomplete’ instructor I am unable. to omnipresent’ ‘I’m not sure what that means.’ '‘‘I don’t know what it means. It’s just the way it is,’’ she said. ‘It’ll never be the same again’"
Instructor,Instructor Contact Information: Name: Erin K. Bray,"Instructor: Erin K. Bray. For confidential support call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org for details. In the U.S. call the National Suicide Prevention Line on 1-800-273-8255. For more information, visit www.suicideprevention.org."
